Speed,Foreign,HasGlasses,LongHair,Wears_Hat,NLaneChanges,HasSpoiler,Brightness,BumperStickers,NumDoors,BumperDamage,RoofRack,SideDents,SportsCar,Distracted,INTENT
60.4,1,0,0,0,3,0,5,0,4,0,1,0,0,0,1
64.0,1,1,0,1,1,0,9,0,4,1,0,0,0,0,2
61.4,0,1,0,1,1,1,4,0,4,0,0,0,0,0,2
62.7,1,0,0,0,1,0,4,0,4,0,0,0,0,0,1
58.5,0,1,0,0,0,0,9,0,4,0,0,0,1,0,0
60.6,0,0,0,0,2,0,7,0,4,0,0,0,0,0,1
57.9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
63.9,1,1,0,1,2,0,9,0,4,1,0,0,1,0,2
64.4,0,0,0,0,0,0,9,0,2,0,0,0,0,0,2
49.0,1,0,0,0,5,0,9,0,4,0,1,0,0,1,1
64.9,1,0,0,0,5,0,4,0,4,0,0,1,0,0,2
60.7,0,1,0,1,5,1,10,0,4,0,0,1,0,0,2
59.2,1,0,0,1,3,0,6,0,4,0,1,0,0,0,1
61.3,0,0,0,0,4,1,1,0,4,0,1,0,0,0,1
66.8,0,1,0,0,2,0,10,0,4,1,0,0,0,0,2
61.7,1,0,1,0,2,0,4,0,2,0,1,0,0,0,1
66.7,0,1,1,0,2,0,10,0,2,1,0,1,0,0,2
54.0,0,0,0,0,2,1,9,0,4,0,0,0,1,1,1
61.5,0,0,1,0,3,1,7,0,4,1,0,0,0,0,1
58.6,0,0,1,0,0,0,0,0,4,0,1,1,0,0,0
60.2,0,0,1,0,1,0,4,1,4,0,1,0,0,0,0
65.4,0,0,1,0,3,0,3,0,2,0,1,0,0,0,1
65.0,0,0,1,0,1,0,8,0,4,0,1,0,0,0,1
58.0,1,0,0,0,0,0,9,0,4,0,0,0,0,1,2
59.8,0,1,0,0,0,0,8,0,4,0,1,0,0,0,0
62.3,0,1,1,0,5,0,6,0,4,0,1,0,0,0,1
61.4,0,1,0,0,1,0,4,0,4,1,0,0,0,0,2
61.0,1,1,0,0,4,0,9,0,4,0,0,0,0,0,1
66.1,0,0,0,0,1,0,8,0,4,0,0,0,0,0,1
51.0,0,0,0,0,5,0,6,0,4,0,1,0,0,1,1
60.7,0,0,1,0,3,0,4,0,4,0,1,0,0,0,1
61.4,0,1,0,0,0,0,7,0,4,0,1,0,0,0,1
59.0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,1
64.0,1,0,0,0,0,0,9,0,4,0,0,1,0,0,1
63.2,1,1,1,1,0,0,5,0,4,0,0,0,0,0,2
63.9,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2
67.2,1,1,1,1,3,1,5,0,4,0,0,1,0,0,2
62.4,1,0,0,0,0,0,7,0,2,0,1,0,0,0,1
57.2,0,0,0,0,0,1,8,1,4,0,1,0,0,0,0
61.1,1,0,1,0,2,0,6,1,4,0,0,0,0,0,1
58.2,0,0,1,0,0,1,8,0,4,0,0,0,0,0,0
56.7,0,0,0,0,3,0,3,0,4,0,1,0,0,0,1
56.0,0,1,0,0,0,1,1,0,4,0,0,0,1,0,0
58.0,0,1,0,0,1,0,7,0,4,0,1,0,0,0,0
59.7,1,1,0,0,0,1,0,0,4,0,0,1,1,0,2
61.1,0,0,0,1,0,1,4,1,4,0,0,1,0,0,2
56.3,1,0,1,1,0,0,5,0,4,0,1,0,0,0,0
65.7,0,0,0,1,1,0,4,0,2,1,0,0,1,0,2
60.7,0,0,0,0,1,0,9,0,4,0,0,0,0,0,1
66.2,0,0,1,0,3,0,4,1,4,0,0,0,0,0,1
60.0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,1
61.3,0,0,1,0,1,0,5,0,4,0,0,0,0,0,1
61.3,1,1,1,0,2,0,6,0,4,0,0,0,0,0,1
57.5,0,0,0,0,1,0,6,1,2,0,1,0,0,0,1
59.4,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0
56.8,1,0,0,1,1,0,4,1,4,0,0,0,0,0,0
62.2,0,0,0,0,3,0,10,0,4,0,1,0,0,0,1
63.2,1,0,0,0,3,0,7,0,4,0,0,0,0,0,1
61.5,0,0,0,0,2,0,8,0,4,0,0,0,0,0,1
60.9,0,0,0,0,1,0,6,0,4,0,0,0,0,0,1
64.4,0,1,0,0,1,1,0,0,4,0,0,1,0,0,2
66.6,0,1,0,0,1,0,9,0,2,1,0,1,0,0,2
62.3,1,0,1,0,5,0,9,1,4,0,0,0,0,0,1
63.7,0,0,1,1,0,0,0,0,4,0,0,0,0,0,2
60.0,1,0,1,0,0,0,3,0,4,1,0,0,0,0,0
63.0,0,1,0,0,3,0,1,0,4,0,1,0,0,0,1
61.8,0,0,0,0,0,0,4,0,4,0,0,1,0,0,2
62.5,0,1,0,0,1,0,1,0,2,0,0,0,0,0,2
63.2,0,0,0,0,4,0,3,0,4,0,0,0,0,0,1
60.5,0,0,0,0,1,0,6,0,4,0,1,0,0,0,1
60.0,0,0,0,0,0,0,9,0,4,0,0,0,0,1,1
63.2,0,0,1,0,2,0,9,0,4,0,1,0,0,0,1
